"2/13/2012 22:22:56",72,47.41,78.24,76.89,73.96,70.70,64.51,60.35
"2/13/2012 22:23:1",71,47.41,78.01,76.77,73.85,70.70,64.51,60.35
"2/13/2012 22:23:7",71,47.30,78.01,76.77,73.85,70.70,64.51,60.35
"2/13/2012 22:23:9",71,47.30,78.01,76.66,73.74,70.70,64.51,60.35
"2/13/2012 22:23:12",71,47.41,78.01,76.66,73.74,70.70,64.51,60.35
"2/13/2012 22:23:18",71,47.30,77.90,76.55,73.62,70.70,64.51,60.35
"2/13/2012 22:23:20",71,47.30,77.79,76.55,73.62,70.70,64.51,60.35
"2/13/2012 22:23:25",71,47.30,77.79,76.55,73.74,70.70,64.51,60.35
"2/13/2012 22:23:30",71,47.30,77.79,76.55,73.74,70.59,64.51,60.35
"2/13/2012 22:23:32",71,47.30,77.68,76.44,73.62,70.59,64.51,60.35
"2/13/2012 22:23:33",71,47.30,77.68,76.44,73.74,70.59,64.51,60.35
"2/13/2012 22:23:36",71,47.30,77.68,76.44,73.62,70.59,64.51,60.35
"2/13/2012 22:23:40",70,47.30,77.56,76.44,73.62,70.47,64.51,60.35
"2/13/2012 22:23:42",70,47.30,77.45,76.44,73.62,70.47,64.51,60.35
"2/13/2012 22:23:47",70,47.30,77.56,76.44,73.62,70.47,64.51,60.35
"2/13/2012 22:23:50",70,47.30,77.56,76.44,73.62,70.47,64.51,60.35
"2/13/2012 22:23:53",70,47.30,77.45,76.44,73.62,70.47,64.51,60.35
"2/13/2012 22:23:55",70,47.30,77.45,76.44,73.62,70.47,64.40,60.35
"2/13/2012 22:23:59",70,47.30,77.22,76.44,73.62,70.47,64.51,60.35
"2/13/2012 22:24:1",70,47.30,77.34,76.44,73.62,70.47,64.40,60.35
"2/13/2012 22:24:5",70,47.30,77.22,76.44,73.62,70.36,64.51,60.24
"2/13/2012 22:24:9",70,47.30,77.34,76.44,73.51,70.36,64.51,60.35
"2/13/2012 22:24:12",70,47.30,77.22,76.32,73.62,70.47,64.51,60.35
"2/13/2012 22:24:17",70,47.30,77.22,76.32,73.62,70.47,64.51,60.35
"2/13/2012 22:24:21",70,47.30,77.22,76.21,73.62,70.47,64.51,60.35
"2/13/2012 22:24:23",70,47.30,77.22,76.21,73.51,70.47,64.51,60.35
"2/13/2012 22:24:27",70,47.30,77.11,76.10,73.51,70.47,64.51,60.35
